qid,uid,label
1206:1,16614:1,
920:1,7879:1,
3653:1,10300:1,
2242:1,19695:1,
6581:1,13635:1,
3594:1,10339:1,
243:1,11629:1,
1750:1,12162:1,
4395:1,16457:1,
4588:1,13926:1,
4212:1,14168:1,
1175:1,15851:1,
4309:1,11260:1,
708:1,9622:1,
690:1,14927:1,
1404:1,12345:1,
590:1,8514:1,
86:1,8380:1,
6023:1,14514:1,
1111:1,11592:1,
152:1,8560:1,
500:1,7925:1,
82:1,28393:1,
7024:1,10333:1,
5927:1,13099:1,
4102:1,28144:1,
2302:1,11317:1,
808:1,11328:1,
3320:1,8196:1,
3909:1,27759:1,
348:1,8870:1,
2991:1,10158:1,
6393:1,7893:1,
62:1,16935:1,
3150:1,8223:1,
2047:1,9888:1,
222:1,10497:1,
276:1,11316:1,
316:1,13764:1,
1471:1,9385:1,
656:1,13737:1,
1723:1,23117:1,
626:1,29168:1,
1925:1,14617:1,
46:1,16978:1,
2590:1,13929:1,
796:1,19757:1,
410:1,11484:1,
2503:1,14477:1,
439:1,16633:1,
7030:1,15527:1,
2154:1,21825:1,
439:1,20277:1,
561:1,18789:1,
550:1,11905:1,
97:1,9456:1,
1614:1,31496:1,
1537:1,23915:1,
2531:1,11841:1,
436:1,13960:1,
4619:1,21047:1,
174:1,13474:1,
1217:1,21015:1,
250:1,9565:1,
866:1,19973:1,
1113:1,12460:1,
1201:1,15109:1,
831:1,11186:1,
438:1,16960:1,
1212:1,21300:1,
1109:1,14680:1,
542:1,9912:1,
3909:1,14063:1,
3194:1,15243:1,
389:1,34906:1,
2166:1,22635:1,
3853:1,18034:1,
6122:1,34907:1,
145:1,9436:1,
884:1,8455:1,
141:1,20019:1,
202:1,27455:1,
195:1,11994:1,
29:1,12267:1,
389:1,33299:1,
19:1,27219:1,
5018:1,19637:1,
842:1,9652:1,
2489:1,8186:1,
804:1,22995:1,
575:1,10253:1,
357:1,13691:1,
109:1,23896:1,
389:1,27923:1,
4619:1,19621:1,
263:1,15597:1,
4096:1,26842:1,
373:1,10398:1,
791:1,8685:1,
2730:1,29030:1,
1317:1,10686:1,
251:1,15271:1,
933:1,11941:1,
603:1,8307:1,
389:1,27722:1,
4103:1,11492:1,
494:1,14371:1,
5548:1,13943:1,
46:1,11747:1,
1170:1,29983:1,
1348:1,10615:1,
3387:1,12615:1,
96:1,15260:1,
669:1,10033:1,
3249:1,10307:1,
4534:1,19951:1,
1702:1,14898:1,
1481:1,10752:1,
529:1,11595:1,
3939:1,32377:1,
193:1,12012:1,
1365:1,23337:1,
3499:1,8563:1,
1059:1,18211:1,
5806:1,21844:1,
2280:1,10135:1,
6019:1,7780:1,
3:1,13506:1,
1848:1,29785:1,
614:1,12775:1,
525:1,9370:1,
2093:1,13220:1,
5855:1,29565:1,
579:1,9030:1,
1710:1,8556:1,
62:1,9076:1,
1548:1,10623:1,
954:1,31214:1,
1106:1,14576:1,
2663:1,8106:1,
46:1,16162:1,
2935:1,8081:1,
3373:1,17903:1,
2759:1,21510:1,
1131:1,16335:1,
4995:1,11470:1,
805:1,21715:1,
1894:1,34908:1,
347:1,8052:1,
4100:1,34909:1,
829:1,10329:1,
682:1,8487:1,
1447:1,18315:1,
5587:1,15891:1,
2445:1,11556:1,
1556:1,10538:1,
243:1,20044:1,
4247:1,34910:1,
5157:1,20109:1,
3476:1,16591:1,
2103:1,10939:1,
1037:1,8464:1,
872:1,10180:1,
282:1,13224:1,
1340:1,14919:1,
4317:1,34911:1,
2655:1,23787:1,
1751:1,31409:1,
713:1,14208:1,
1202:1,13131:1,
11:1,7835:1,
676:1,21096:1,
1149:1,8588:1,
1075:1,13604:1,
6862:1,31178:1,
2071:1,24202:1,
4777:1,23182:1,
2107:1,20945:1,
1670:1,7951:1,
1672:1,20099:1,
4343:1,9829:1,
1017:1,16326:1,
564:1,12292:1,
4279:1,11811:1,
1446:1,22179:1,
540:1,9009:1,
48:1,10652:1,
2461:1,12710:1,
6:1,17613:1,
376:1,7911:1,
19:1,10022:1,
3976:1,20630:1,
393:1,8756:1,
131:1,15248:1,
2387:1,8151:1,
1086:1,12435:1,
2958:1,21118:1,
1071:1,19862:1,
3128:1,9623:1,
164:1,11795:1,
1071:1,15128:1,
250:1,22327:1,
769:1,15868:1,
4824:1,17072:1,
265:1,14634:1,
7175:1,21183:1,
638:1,18889:1,
