edge_id,edge_present
0,0.05
1,0.1
2,0.15
3,0.05
4,0.2
5,0.2
6,0.1
7,0.2
8,0.2
9,0.15
10,0.05
11,0.1
12,0.15
13,0.15
14,0.05
15,0.0
16,0.2
17,0.1
18,0.1
19,0.2
20,0.1
21,0.2
22,0.05
23,0.2
24,0.1
25,0.05
26,0.15
27,0.05
28,0.05
29,0.2
30,0.0
31,0.1
32,0.15
33,0.2
34,0.15
35,0.15
36,0.2
37,0.2
38,0.0
39,0.2
40,0.1
41,0.0
42,0.05
43,0.15
44,0.15
45,0.15
46,0.1
47,0.3
48,0.1
49,0.2
50,0.1
51,0.1
52,0.15
53,0.3
54,0.1
55,0.25
56,0.15
57,0.1
58,0.05
59,0.1
60,0.15
61,0.1
62,0.15
63,0.2
64,0.0
65,0.25
66,0.25
67,0.05
68,0.1
69,0.15
70,0.25
71,0.1
72,0.1
73,0.15
74,0.05
75,0.3
76,0.1
77,0.2
78,0.2
79,0.15
80,0.2
81,0.2
82,0.05
83,0.15
84,0.15
85,0.15
86,0.2
87,0.05
88,0.1
89,0.05
90,0.2
91,0.2
92,0.15
93,0.05
94,0.15
95,0.15
96,0.05
97,0.1
98,0.1
99,0.15
100,0.05
101,0.05
102,0.05
103,0.15
104,0.2
105,0.15
106,0.15
107,0.15
108,0.05
109,0.1
110,0.1
111,0.05
112,0.15
113,0.15
114,0.15
115,0.2
116,0.1
117,0.2
118,0.05
119,0.15
120,0.1
121,0.25
122,0.05
123,0.25
124,0.25
125,0.2
126,0.0
127,0.2
128,0.0
129,0.1
130,0.15
131,0.1
132,0.1
133,0.1
134,0.1
135,0.1
136,0.0
137,0.05
138,0.25
139,0.0
140,0.1
141,0.1
142,0.15
143,0.2
144,0.1
145,0.0
146,0.05
147,0.25
148,0.1
149,0.1
150,0.15
151,0.15
152,0.05
153,0.05
154,0.1
155,0.15
156,0.05
157,0.1
158,1.0
159,0.1
160,0.1
161,0.15
162,0.15
163,0.3
164,0.25
165,0.1
166,0.1
167,0.2
168,0.15
169,0.1
170,0.2
171,0.1
172,0.05
173,0.3
174,0.1
175,0.1
176,0.15
177,0.1
178,0.1
179,0.15
180,0.1
181,0.15
182,0.1
183,0.15
184,0.15
185,0.1
186,0.15
187,0.25
188,0.0
189,0.3
190,0.1
191,0.05
192,0.1
193,0.1
194,0.05
195,0.15
196,0.15
197,0.05
198,0.15
199,0.6
200,0.15
201,0.05
202,0.35
203,0.15
204,0.1
205,0.05
206,0.1
207,0.05
208,0.35
209,0.15
210,0.05
211,0.1
212,0.0
213,0.2
214,0.15
215,0.2
216,0.15
217,0.0
218,0.1
219,0.1
220,0.15
221,0.05
222,0.1
223,0.15
224,0.3
225,0.15
226,0.1
227,0.2
228,0.1
229,0.1
230,0.05
231,0.1
232,0.15
233,0.15
234,0.15
235,0.25
236,0.05
237,0.05
238,0.2
239,0.2
240,0.1
241,0.05
242,0.1
243,0.1
244,0.15
245,0.2
246,0.1
247,0.2
248,0.1
249,0.15
250,0.1
251,0.2
252,0.15
253,0.15
254,0.0
255,0.2
256,0.15
257,0.15
258,0.15
259,0.1
260,0.15
261,0.05
262,0.1
263,0.05
264,0.3
265,0.35
266,0.1
267,0.2
268,0.05
269,0.1
270,0.1
271,0.2
272,0.15
273,0.15
274,0.05
275,0.1
276,0.2
277,0.25
278,0.15
279,0.1
280,0.1
281,0.1
282,0.15
283,0.2
284,0.1
285,0.15
286,0.1
287,0.1
288,0.05
289,0.15
290,0.1
291,0.15
292,0.2
293,0.1
294,0.2
295,0.0
296,0.05
297,0.2
298,0.15
299,0.2
300,0.1
301,0.05
302,0.15
303,0.3
304,0.2
305,0.2
306,0.1
307,0.05
308,0.2
309,0.1
310,0.05
311,0.15
312,0.15
313,0.1
314,0.05
315,0.1
316,0.05
317,0.1
318,0.15
319,0.2
320,0.05
321,0.0
322,0.05
323,0.05
324,0.15
325,0.15
326,0.05
327,0.05
328,0.0
329,0.35
330,0.2
331,0.05
332,0.05
333,0.1
334,0.1
335,0.2
336,0.05
337,0.1
338,0.15
339,0.1
340,0.15
341,0.05
342,0.2
343,0.15
344,0.05
345,0.3
